"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"human_Astrocyte",1,1,0,0,0,0,0,0,0,0,146,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"human_Endothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
"human_IT",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_L4 IT",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_L5 ET",0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_L5/6 IT Car3",2,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_L5/6 NP",0,0,0,0,149,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_L6 CT",0,11,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_L6b",0,144,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_LAMP5",0,0,0,6,0,0,0,0,1,1,0,141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"human_Microglia",0,0,0,0,0,0,0,1,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0
"human_Oligodendrocyte",0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_OPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0
"human_PAX6",0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_Pericyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
"human_PVALB",0,0,0,0,0,0,0,0,147,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"human_SST",0,0,0,0,0,0,0,0,6,141,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"human_VIP",0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0
"human_VLMC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"mouse_Astro",0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_CA1-ProS",0,0,1,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,1,0,0,0,0,0,0,0
"mouse_CA2",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_CA3",0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_Car3",1,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_CR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"mouse_CT SUB",0,47,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_DG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
"mouse_Endo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0
"mouse_L2 IT ENTl",1,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L2 IT RHP",14,0,1,0,0,2,31,0,1,0,0,1,0,26,0,0,0,0,0,2,1,0,0,0,0,0,0
"mouse_L2/3 IT CTX-1",77,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L2/3 IT CTX-2",17,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L2/3 IT ENTl",4,0,0,0,0,0,71,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"mouse_L2/3 IT PPP",11,0,68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L3 IT ENT",0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L3 RSP-ACA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
"mouse_L4/5 IT CTX",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L5 IT CTX",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L5 IT TPE-ENT",67,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L5 NP CTX",0,1,1,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L5 PPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"mouse_L5 PT CTX",1,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mouse_L6 CT CTX",1,3,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L6 IT CTX",74,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L6 IT ENTl",1,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L6b CTX",0,75,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_L6b/CT ENT",0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_Lamp5",0,0,0,10,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_Meis2",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,3
"mouse_Micro-PVM",0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,20,0
"mouse_NP PPP",0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_NP SUB",0,3,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_Oligo",0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"mouse_Pvalb",0,0,0,0,0,0,0,0,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_SMC-Peri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
"mouse_Sncg",0,0,0,73,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"mouse_Sst",0,0,0,0,0,0,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mouse_Sst Chodl",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
"mouse_SUB-ProS",0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69,0,0,0,0,0,0,0
"mouse_Vip",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
"mouse_VLMC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0
