"","MGI.symbol","HGNC.symbol","Duplicate_HGNC","Duplicate_MGI","One_to_one"
"1","Gm20817","SYCP3",TRUE,FALSE,FALSE
"2","Gm28490","SYCP3",TRUE,FALSE,FALSE
"3","Gm21094","SYCP3",TRUE,FALSE,FALSE
"4","Gm20838","SYCP3",TRUE,FALSE,FALSE
"5","Gm20888","SYCP3",TRUE,FALSE,FALSE
"6","Gm20869","SYCP3",TRUE,FALSE,FALSE
"7","Gm20870","SYCP3",TRUE,FALSE,FALSE
"8","Gm20855","SYCP3",TRUE,FALSE,FALSE
"9","Gm20843","SYCP3",TRUE,FALSE,FALSE
"10","Gm20816","SPIN2A",TRUE,TRUE,FALSE
"11","Gm33815","SPIN2A",TRUE,TRUE,FALSE
"12","Gm28079","SPIN2A",TRUE,TRUE,FALSE
"13","Gm29644","SPIN2A",TRUE,TRUE,FALSE
"14","Gm21118","SPIN2A",TRUE,TRUE,FALSE
"15","Gm20816","SPIN2B",TRUE,TRUE,FALSE
"16","Gm33815","SPIN2B",TRUE,TRUE,FALSE
"17","Gm28079","SPIN2B",TRUE,TRUE,FALSE
"18","Gm29644","SPIN2B",TRUE,TRUE,FALSE
"19","Gm21118","SPIN2B",TRUE,TRUE,FALSE
"20","Gm20738","SPIN2A",TRUE,TRUE,FALSE
"21","Gm20867","SPIN2A",TRUE,TRUE,FALSE
"22","Gm20795","SPIN2A",TRUE,TRUE,FALSE
"23","Gm20806","SPIN2A",TRUE,TRUE,FALSE
"24","Gm20917","SPIN2A",TRUE,TRUE,FALSE
"25","Gm21394","SPIN2A",TRUE,TRUE,FALSE
"26","Gm20854","SPIN2A",TRUE,TRUE,FALSE
"27","Gm20747","SPIN2A",TRUE,TRUE,FALSE
"28","Gm21943","SPIN2A",TRUE,TRUE,FALSE
"29","Gm20823","SPIN2A",TRUE,TRUE,FALSE
"30","Gm20924","SPIN2A",TRUE,TRUE,FALSE
"31","Gm20738","SPIN2B",TRUE,TRUE,FALSE
"32","Gm20867","SPIN2B",TRUE,TRUE,FALSE
"33","Gm20795","SPIN2B",TRUE,TRUE,FALSE
"34","Gm20806","SPIN2B",TRUE,TRUE,FALSE
"35","Gm20917","SPIN2B",TRUE,TRUE,FALSE
"36","Gm21394","SPIN2B",TRUE,TRUE,FALSE
"37","Gm20854","SPIN2B",TRUE,TRUE,FALSE
"38","Gm20747","SPIN2B",TRUE,TRUE,FALSE
"39","Gm21943","SPIN2B",TRUE,TRUE,FALSE
"40","Gm20823","SPIN2B",TRUE,TRUE,FALSE
"41","Gm20924","SPIN2B",TRUE,TRUE,FALSE
"42","Gm20896","SYCP3",TRUE,FALSE,FALSE
"43","Gm20903","SYCP3",TRUE,FALSE,FALSE
"44","Gm20835","SYCP3",TRUE,FALSE,FALSE
"45","Gm29110","SYCP3",TRUE,FALSE,FALSE
"46","Gm20905","SYCP3",TRUE,FALSE,FALSE
"47","Gm20814","SYCP3",TRUE,FALSE,FALSE
"48","Gm20850","SYCP3",TRUE,FALSE,FALSE
"49","Gm20897","SYCP3",TRUE,FALSE,FALSE
"50","Gm21173","SYCP3",TRUE,FALSE,FALSE
"51","Gm21865","SYCP3",TRUE,FALSE,FALSE
"52","Gm21650","SYCP3",TRUE,FALSE,FALSE
"53","Gm29564","SYCP3",TRUE,FALSE,FALSE
"54","Gm29276","SYCP3",TRUE,FALSE,FALSE
"55","Gm20916","SYCP3",TRUE,FALSE,FALSE
"56","Gm21760","SYCP3",TRUE,FALSE,FALSE
"57","Gm21739","SYCP3",TRUE,FALSE,FALSE
"58","Gm28897","SYCP3",TRUE,FALSE,FALSE
"59","Gm20911","SYCP3",TRUE,FALSE,FALSE
"60","Gm21317","SYCP3",TRUE,FALSE,FALSE
"61","Gm28827","SYCP3",TRUE,FALSE,FALSE
"62","Gm21256","SYCP3",TRUE,FALSE,FALSE
"63","Gm20792","SYCP3",TRUE,FALSE,FALSE
"64","Gm21095","SYCP3",TRUE,FALSE,FALSE
"65","Gm28553","SYCP3",TRUE,FALSE,FALSE
"66","Gm21409","SYCP3",TRUE,FALSE,FALSE
"67","Gm21209","SYCP3",TRUE,FALSE,FALSE
"68","Gm28870","SYCP3",TRUE,FALSE,FALSE
"69","Gm20820","SYCP3",TRUE,FALSE,FALSE
"70","Gm20883","SYCP3",TRUE,FALSE,FALSE
"71","Gm21117","SYCP3",TRUE,FALSE,FALSE
"72","Gm21477","SYCP3",TRUE,FALSE,FALSE
"73","Gm20906","SYCP3",TRUE,FALSE,FALSE
"74","Gm20920","SYCP3",TRUE,FALSE,FALSE
"75","Gm28102","SYCP3",TRUE,FALSE,FALSE
"76","Gm21294","SYCP3",TRUE,FALSE,FALSE
"77","Gm21258","SYCP3",TRUE,FALSE,FALSE
"78","Gm21996","SYCP3",TRUE,FALSE,FALSE
"79","Gm20837","SYCP3",TRUE,FALSE,FALSE
"80","Gm20929","SYCP3",TRUE,FALSE,FALSE
"81","Gm20931","SYCP3",TRUE,FALSE,FALSE
