"","HGNC.symbol","MGI.symbol","Duplicate_HGNC","Duplicate_MGI","One_to_one"
"1","SYCP3","Gm20817",TRUE,FALSE,FALSE
"2","SYCP3","Gm28490",TRUE,FALSE,FALSE
"3","SYCP3","Gm21094",TRUE,FALSE,FALSE
"4","SYCP3","Gm20838",TRUE,FALSE,FALSE
"5","SYCP3","Gm20888",TRUE,FALSE,FALSE
"6","SYCP3","Gm20869",TRUE,FALSE,FALSE
"7","SYCP3","Gm20870",TRUE,FALSE,FALSE
"8","SYCP3","Gm20855",TRUE,FALSE,FALSE
"9","SYCP3","Gm20843",TRUE,FALSE,FALSE
"10","SPIN2A","Gm20816",TRUE,TRUE,FALSE
"11","SPIN2A","Gm33815",TRUE,TRUE,FALSE
"12","SPIN2A","Gm28079",TRUE,TRUE,FALSE
"13","SPIN2A","Gm29644",TRUE,TRUE,FALSE
"14","SPIN2A","Gm21118",TRUE,TRUE,FALSE
"15","SPIN2B","Gm20816",TRUE,TRUE,FALSE
"16","SPIN2B","Gm33815",TRUE,TRUE,FALSE
"17","SPIN2B","Gm28079",TRUE,TRUE,FALSE
"18","SPIN2B","Gm29644",TRUE,TRUE,FALSE
"19","SPIN2B","Gm21118",TRUE,TRUE,FALSE
"20","SPIN2A","Gm20738",TRUE,TRUE,FALSE
"21","SPIN2A","Gm20867",TRUE,TRUE,FALSE
"22","SPIN2A","Gm20795",TRUE,TRUE,FALSE
"23","SPIN2A","Gm20806",TRUE,TRUE,FALSE
"24","SPIN2A","Gm20917",TRUE,TRUE,FALSE
"25","SPIN2A","Gm21394",TRUE,TRUE,FALSE
"26","SPIN2A","Gm20854",TRUE,TRUE,FALSE
"27","SPIN2A","Gm20747",TRUE,TRUE,FALSE
"28","SPIN2A","Gm21943",TRUE,TRUE,FALSE
"29","SPIN2A","Gm20823",TRUE,TRUE,FALSE
"30","SPIN2A","Gm20924",TRUE,TRUE,FALSE
"31","SPIN2B","Gm20738",TRUE,TRUE,FALSE
"32","SPIN2B","Gm20867",TRUE,TRUE,FALSE
"33","SPIN2B","Gm20795",TRUE,TRUE,FALSE
"34","SPIN2B","Gm20806",TRUE,TRUE,FALSE
"35","SPIN2B","Gm20917",TRUE,TRUE,FALSE
"36","SPIN2B","Gm21394",TRUE,TRUE,FALSE
"37","SPIN2B","Gm20854",TRUE,TRUE,FALSE
"38","SPIN2B","Gm20747",TRUE,TRUE,FALSE
"39","SPIN2B","Gm21943",TRUE,TRUE,FALSE
"40","SPIN2B","Gm20823",TRUE,TRUE,FALSE
"41","SPIN2B","Gm20924",TRUE,TRUE,FALSE
"42","SYCP3","Gm20896",TRUE,FALSE,FALSE
"43","SYCP3","Gm20903",TRUE,FALSE,FALSE
"44","SYCP3","Gm20835",TRUE,FALSE,FALSE
"45","SYCP3","Gm29110",TRUE,FALSE,FALSE
"46","SYCP3","Gm20905",TRUE,FALSE,FALSE
"47","SYCP3","Gm20814",TRUE,FALSE,FALSE
"48","SYCP3","Gm20850",TRUE,FALSE,FALSE
"49","SYCP3","Gm20897",TRUE,FALSE,FALSE
"50","SYCP3","Gm21173",TRUE,FALSE,FALSE
"51","SYCP3","Gm21865",TRUE,FALSE,FALSE
"52","SYCP3","Gm21650",TRUE,FALSE,FALSE
"53","SYCP3","Gm29564",TRUE,FALSE,FALSE
"54","SYCP3","Gm29276",TRUE,FALSE,FALSE
"55","SYCP3","Gm20916",TRUE,FALSE,FALSE
"56","SYCP3","Gm21760",TRUE,FALSE,FALSE
"57","SYCP3","Gm21739",TRUE,FALSE,FALSE
"58","SYCP3","Gm28897",TRUE,FALSE,FALSE
"59","SYCP3","Gm20911",TRUE,FALSE,FALSE
"60","SYCP3","Gm21317",TRUE,FALSE,FALSE
"61","SYCP3","Gm28827",TRUE,FALSE,FALSE
"62","SYCP3","Gm21256",TRUE,FALSE,FALSE
"63","SYCP3","Gm20792",TRUE,FALSE,FALSE
"64","SYCP3","Gm21095",TRUE,FALSE,FALSE
"65","SYCP3","Gm28553",TRUE,FALSE,FALSE
"66","SYCP3","Gm21409",TRUE,FALSE,FALSE
"67","SYCP3","Gm21209",TRUE,FALSE,FALSE
"68","SYCP3","Gm28870",TRUE,FALSE,FALSE
"69","SYCP3","Gm20820",TRUE,FALSE,FALSE
"70","SYCP3","Gm20883",TRUE,FALSE,FALSE
"71","SYCP3","Gm21117",TRUE,FALSE,FALSE
"72","SYCP3","Gm21477",TRUE,FALSE,FALSE
"73","SYCP3","Gm20906",TRUE,FALSE,FALSE
"74","SYCP3","Gm20920",TRUE,FALSE,FALSE
"75","SYCP3","Gm28102",TRUE,FALSE,FALSE
"76","SYCP3","Gm21294",TRUE,FALSE,FALSE
"77","SYCP3","Gm21258",TRUE,FALSE,FALSE
"78","SYCP3","Gm21996",TRUE,FALSE,FALSE
"79","SYCP3","Gm20837",TRUE,FALSE,FALSE
"80","SYCP3","Gm20929",TRUE,FALSE,FALSE
"81","SYCP3","Gm20931",TRUE,FALSE,FALSE
"82","SYCP3","Gm21858",TRUE,FALSE,FALSE
"83","SYCP3","Sly",TRUE,FALSE,FALSE
"84","SYCP3","Gm28961",TRUE,FALSE,FALSE
"85","SYCP3","Gm21861",TRUE,FALSE,FALSE
"86","SYCP3","Gm28891",TRUE,FALSE,FALSE
"87","SYCP3","1700040F15Rik",TRUE,FALSE,FALSE
"88","SYCP3","Gm21497",TRUE,FALSE,FALSE
"89","SYCP3","Gm21518",TRUE,FALSE,FALSE
"90","SYCP3","Gm21627",TRUE,FALSE,FALSE
"91","SYCP3","Gm20908",TRUE,FALSE,FALSE
"92","SYCP3","Gm20736",TRUE,FALSE,FALSE
"93","SNX6","Snx6",FALSE,FALSE,TRUE
"94","SRY","Sry",FALSE,FALSE,TRUE
"95","GABRA3","Gabra3",FALSE,FALSE,TRUE
"96","ITGA5","Itga5",FALSE,FALSE,TRUE
