"","MGI.symbol","HGNC.symbol","Duplicate_HGNC","Duplicate_MGI","One_to_one"
"1","Tekt4","MAFIP",FALSE,TRUE,FALSE
"2","Sry","SRY",FALSE,FALSE,TRUE
"3","Tbl1x","TBL1Y",FALSE,TRUE,FALSE
"4","Hsfy2","HSFY2",FALSE,TRUE,FALSE
"5","Hsfy2","HSFY1",FALSE,TRUE,FALSE
"6","Rbmy","RBMY1A1",TRUE,TRUE,FALSE
"7","Rbmy","RBMY1J",TRUE,TRUE,FALSE
"8","Rbmy","RBMY1B",TRUE,TRUE,FALSE
"9","Rbmy","RBMY1D",TRUE,TRUE,FALSE
"10","Rbmy","RBMY1F",TRUE,TRUE,FALSE
"11","Rbmy","RBMY1E",TRUE,TRUE,FALSE
"12","Dazl","DAZ4",FALSE,TRUE,FALSE
"13","Dazl","DAZ3",FALSE,TRUE,FALSE
"14","Dazl","DAZ1",FALSE,TRUE,FALSE
"15","Dazl","DAZ2",FALSE,TRUE,FALSE
"16","Pcdh11x","PCDH11Y",FALSE,TRUE,FALSE
"17","Gm21677","RBMY1A1",TRUE,TRUE,FALSE
"18","Gm21677","RBMY1J",TRUE,TRUE,FALSE
"19","Gm21677","RBMY1B",TRUE,TRUE,FALSE
"20","Gm21677","RBMY1D",TRUE,TRUE,FALSE
"21","Gm21677","RBMY1F",TRUE,TRUE,FALSE
"22","Gm21677","RBMY1E",TRUE,TRUE,FALSE
"23","Uty","UTY",FALSE,FALSE,TRUE
"24","Ddx3y","DDX3Y",FALSE,FALSE,TRUE
"25","Gm4064","RBMY1A1",TRUE,TRUE,FALSE
"26","Gm4064","RBMY1J",TRUE,TRUE,FALSE
"27","Gm4064","RBMY1B",TRUE,TRUE,FALSE
"28","Gm4064","RBMY1D",TRUE,TRUE,FALSE
"29","Gm4064","RBMY1F",TRUE,TRUE,FALSE
"30","Gm4064","RBMY1E",TRUE,TRUE,FALSE
"31","Gm3376","RBMY1A1",TRUE,TRUE,FALSE
"32","Gm3376","RBMY1J",TRUE,TRUE,FALSE
"33","Gm3376","RBMY1B",TRUE,TRUE,FALSE
"34","Gm3376","RBMY1D",TRUE,TRUE,FALSE
"35","Gm3376","RBMY1F",TRUE,TRUE,FALSE
"36","Gm3376","RBMY1E",TRUE,TRUE,FALSE
"37","Usp9y","USP9Y",FALSE,FALSE,TRUE
"38","Gm21708","RBMY1A1",TRUE,TRUE,FALSE
"39","Gm21708","RBMY1J",TRUE,TRUE,FALSE
"40","Gm21708","RBMY1B",TRUE,TRUE,FALSE
"41","Gm21708","RBMY1D",TRUE,TRUE,FALSE
"42","Gm21708","RBMY1F",TRUE,TRUE,FALSE
"43","Gm21708","RBMY1E",TRUE,TRUE,FALSE
"44","Gm21704","RBMY1A1",TRUE,TRUE,FALSE
"45","Gm21704","RBMY1J",TRUE,TRUE,FALSE
"46","Gm21704","RBMY1B",TRUE,TRUE,FALSE
"47","Gm21704","RBMY1D",TRUE,TRUE,FALSE
"48","Gm21704","RBMY1F",TRUE,TRUE,FALSE
"49","Gm21704","RBMY1E",TRUE,TRUE,FALSE
"50","Tgif2lx1","TGIF2LY",TRUE,TRUE,FALSE
"51","Gm21693","RBMY1A1",TRUE,TRUE,FALSE
"52","Gm21693","RBMY1J",TRUE,TRUE,FALSE
"53","Gm21693","RBMY1B",TRUE,TRUE,FALSE
"54","Gm21693","RBMY1D",TRUE,TRUE,FALSE
"55","Gm21693","RBMY1F",TRUE,TRUE,FALSE
"56","Gm21693","RBMY1E",TRUE,TRUE,FALSE
"57","Kdm5d","KDM5D",FALSE,FALSE,TRUE
"58","Tgif2lx2","TGIF2LY",TRUE,TRUE,FALSE
"59","Zfx","ZFY",FALSE,FALSE,TRUE
"60","Gm10256","RBMY1A1",TRUE,TRUE,FALSE
"61","Gm10256","RBMY1J",TRUE,TRUE,FALSE
"62","Gm10256","RBMY1B",TRUE,TRUE,FALSE
"63","Gm10256","RBMY1D",TRUE,TRUE,FALSE
"64","Gm10256","RBMY1F",TRUE,TRUE,FALSE
"65","Gm10256","RBMY1E",TRUE,TRUE,FALSE
"66","Gm10352","RBMY1A1",TRUE,TRUE,FALSE
"67","Gm10352","RBMY1J",TRUE,TRUE,FALSE
"68","Gm10352","RBMY1B",TRUE,TRUE,FALSE
"69","Gm10352","RBMY1D",TRUE,TRUE,FALSE
"70","Gm10352","RBMY1F",TRUE,TRUE,FALSE
"71","Gm10352","RBMY1E",TRUE,TRUE,FALSE
"72","Tmsb4x","TMSB4Y",FALSE,FALSE,TRUE
"73","Tspo","TSPO",FALSE,FALSE,TRUE
"74","Ttc3","TTC3",FALSE,FALSE,TRUE
"75","Fam114a1","FAM114A1",FALSE,FALSE,TRUE
"76","Polr3f","POLR3F",FALSE,FALSE,TRUE
"77","Clcn5","CLCN5",FALSE,FALSE,TRUE
"78","Gm9774","ADRM1",TRUE,FALSE,FALSE
"79","Gtf3a","GTF3A",FALSE,FALSE,TRUE
"80","Spata2","SPATA2",FALSE,FALSE,TRUE
"81","Tst","TST",FALSE,FALSE,TRUE
"82","Sephs1","SEPHS1",FALSE,FALSE,TRUE
"83","Snai1","SNAI1",FALSE,FALSE,TRUE
"84","Pcnx","PCNX1",FALSE,FALSE,TRUE
"85","Ttll1","TTLL1",FALSE,FALSE,TRUE
"86","Klhl14","KLHL14",FALSE,FALSE,TRUE
"87","Ndufv3","NDUFV3",FALSE,FALSE,TRUE
"88","Yy1","YY1",FALSE,FALSE,TRUE
"89","Rbbp8","RBBP8",FALSE,FALSE,TRUE
"90","Snrpb2","SNRPB2",FALSE,FALSE,TRUE
"91","Chodl","CHODL",FALSE,FALSE,TRUE
"92","Mageb16","MAGEB16",FALSE,FALSE,TRUE
"93","Ascc2","ASCC2",FALSE,FALSE,TRUE
"94","Slc17a9","SLC17A9",FALSE,FALSE,TRUE
"95","Sec61a2","SEC61A2",FALSE,FALSE,TRUE
"96","Pole2","POLE2",FALSE,FALSE,TRUE
"97","Mcm3ap","MCM3AP",FALSE,FALSE,TRUE
"98","Reps2","REPS2",FALSE,FALSE,TRUE
"99","Ccdc68","CCDC68",FALSE,FALSE,TRUE
"100","Phactr3","PHACTR3",FALSE,FALSE,TRUE
"101","Pla2g6","PLA2G6",FALSE,FALSE,TRUE
"102","Elmo2","ELMO2",FALSE,FALSE,TRUE
"103","Slc25a15","SLC25A15",FALSE,FALSE,TRUE
"104","Htr2c","HTR2C",FALSE,FALSE,TRUE
"105","Tmprss3","TMPRSS3",FALSE,FALSE,TRUE
"106","Eya2","EYA2",FALSE,FALSE,TRUE
"107","Elf1","ELF1",FALSE,FALSE,TRUE
"108","Dcaf4","DCAF4",FALSE,TRUE,FALSE
"109","Tmem63c","TMEM63C",FALSE,FALSE,TRUE
"110","Pde9a","PDE9A",FALSE,FALSE,TRUE
"111","Limk2","LIMK2",FALSE,FALSE,TRUE
"112","Stk35","STK35",FALSE,FALSE,TRUE
"113","Klhl4","KLHL4",FALSE,FALSE,TRUE
"114","Mxd4","MXD4",FALSE,FALSE,TRUE
"115","Pmepa1","PMEPA1",FALSE,FALSE,TRUE
"116","Mapk4","MAPK4",FALSE,FALSE,TRUE
"117","Fbln1","FBLN1",FALSE,FALSE,TRUE
"118","Acss2","ACSS2",FALSE,FALSE,TRUE
"119","Wdr1","WDR1",FALSE,FALSE,TRUE
"120","Prex1","PREX1",FALSE,FALSE,TRUE
"121","Sall4","SALL4",FALSE,FALSE,TRUE
"122","Bpifa5","BPIFA1",TRUE,FALSE,FALSE
"123","Proser1","PROSER1",FALSE,FALSE,TRUE
"124","Ccbe1","CCBE1",FALSE,FALSE,TRUE
"125","Pfkfb1","PFKFB1",FALSE,FALSE,TRUE
"126","Lrch2","LRCH2",FALSE,FALSE,TRUE
"127","AW554918","KIAA1328",FALSE,FALSE,TRUE
"128","Kpna3","KPNA3",FALSE,FALSE,TRUE
"129","Sec11c","SEC11C",FALSE,FALSE,TRUE
"130","Vpreb3","VPREB3",FALSE,FALSE,TRUE
"131","Commd8","COMMD8",FALSE,FALSE,TRUE
"132","Sik1","SIK1B",FALSE,TRUE,FALSE
"133","Sik1","SIK1",FALSE,TRUE,FALSE
"134","Cdc37l1","CDC37L1",FALSE,FALSE,TRUE
"135","Dlgap1","DLGAP1",FALSE,FALSE,TRUE
"136","Tsc22d1","TSC22D1",FALSE,FALSE,TRUE
"137","Gphb5","GPHB5",FALSE,FALSE,TRUE
"138","Maob","MAOB",FALSE,FALSE,TRUE
"139","Trmt6","TRMT6",FALSE,FALSE,TRUE
"140","Tmem50b","TMEM50B",FALSE,FALSE,TRUE
"141","Atg2b","ATG2B",FALSE,FALSE,TRUE
"142","Pgrmc1","PGRMC1",FALSE,FALSE,TRUE
"143","Fos","FOS",FALSE,FALSE,TRUE
"144","Lmo7","LMO7",FALSE,FALSE,TRUE
"145","Defb22","DEFB127",TRUE,TRUE,FALSE
"146","Defb22","DEFB121",TRUE,TRUE,FALSE
"147","Snta1","SNTA1",FALSE,FALSE,TRUE
"148","Mospd1","MOSPD1",FALSE,FALSE,TRUE
"149","Dnmt3l","DNMT3L",FALSE,FALSE,TRUE
"150","Awat2","AWAT2",FALSE,FALSE,TRUE
"151","Cst9","CST9L",FALSE,FALSE,TRUE
"152","Adra2c","ADRA2C",FALSE,FALSE,TRUE
"153","Flt1","FLT1",FALSE,FALSE,TRUE
"154","Nox1","NOX1",FALSE,FALSE,TRUE
"155","Pim3","PIM3",FALSE,FALSE,TRUE
"156","Lhfpl1","LHFPL1",FALSE,FALSE,TRUE
"157","Rprd1b","RPRD1B",FALSE,FALSE,TRUE
"158","Phka1","PHKA1",FALSE,FALSE,TRUE
"159","Tmx1","TMX1",FALSE,FALSE,TRUE
"160","Fam118a","FAM118A",FALSE,FALSE,TRUE
"161","Ndp","NDP",FALSE,FALSE,TRUE
"162","C2cd2","C2CD2",FALSE,FALSE,TRUE
"163","Kin","KIN",FALSE,FALSE,TRUE
"164","Chaf1b","CHAF1B",FALSE,FALSE,TRUE
"165","Lif","LIF",FALSE,FALSE,TRUE
"166","Jkamp","JKAMP",FALSE,FALSE,TRUE
"167","Sh3bgrl","SH3BGRL",FALSE,FALSE,TRUE
"168","Itm2a","ITM2A",FALSE,FALSE,TRUE
"169","Synj1","SYNJ1",FALSE,FALSE,TRUE
"170","Pcdh8","PCDH8",FALSE,FALSE,TRUE
"171","Six4","SIX4",FALSE,FALSE,TRUE
"172","Pfkl","PFKL",FALSE,FALSE,TRUE
"173","Slc25a47","SLC25A47",FALSE,FALSE,TRUE
"174","Cbs","CBS",FALSE,TRUE,FALSE
"175","Ankrd9","ANKRD9",FALSE,FALSE,TRUE
"176","D630003M21Rik","KIAA1755",FALSE,FALSE,TRUE
"177","Tbc1d8b","TBC1D8B",FALSE,FALSE,TRUE
"178","Gpcpd1","GPCPD1",FALSE,FALSE,TRUE
"179","Cubn","CUBN",FALSE,FALSE,TRUE
"180","Rnf114","RNF114",FALSE,FALSE,TRUE
"181","Dip2c","DIP2C",FALSE,FALSE,TRUE
"182","Gata5","GATA5",FALSE,FALSE,TRUE
"183","Cdc123","CDC123",FALSE,FALSE,TRUE
"184","Slc2a9","SLC2A9",FALSE,FALSE,TRUE
"185","Ptpn21","PTPN21",FALSE,FALSE,TRUE
"186","Rcl1","RCL1",FALSE,FALSE,TRUE
"187","Amelx","AMELX",FALSE,FALSE,TRUE
"188","Lurap1l","LURAP1L",FALSE,FALSE,TRUE
"189","Morc3","MORC3",FALSE,FALSE,TRUE
"190","Ubac2","UBAC2",FALSE,FALSE,TRUE
"191","Crls1","CRLS1",FALSE,FALSE,TRUE
"192","Nudt5","NUDT5",FALSE,FALSE,TRUE
"193","Tec","TEC",FALSE,FALSE,TRUE
"194","Tmem241","TMEM241",FALSE,FALSE,TRUE
"195","Cbln2","CBLN2",FALSE,FALSE,TRUE
"196","Slc19a1","SLC19A1",FALSE,FALSE,TRUE
"197","Ggt1","GGTLC1",FALSE,TRUE,FALSE
"198","Ggt1","GGT2",FALSE,TRUE,FALSE
"199","Ggt1","GGTLC3",FALSE,TRUE,FALSE
"200","Fbxo7","FBXO7",FALSE,FALSE,TRUE
"201","Pfkfb3","PFKFB3",FALSE,FALSE,TRUE
"202","Fscb","FSCB",FALSE,FALSE,TRUE
"203","Prr32","PRR32",FALSE,FALSE,TRUE
"204","Peli2","PELI2",FALSE,FALSE,TRUE
"205","Pygb","PYGB",FALSE,FALSE,TRUE
"206","Rai2","RAI2",FALSE,FALSE,TRUE
"207","Vgll1","VGLL1",FALSE,FALSE,TRUE
"208","Eif4enif1","EIF4ENIF1",FALSE,FALSE,TRUE
"209","Rock1","ROCK1",FALSE,FALSE,TRUE
"210","Dmrta1","DMRTA1",FALSE,FALSE,TRUE
"211","Psmd10","PSMD10",FALSE,FALSE,TRUE
"212","Psmg2","PSMG2",FALSE,FALSE,TRUE
"213","Fgfrl1","FGFRL1",FALSE,FALSE,TRUE
"214","Rab22a","RAB22A",FALSE,FALSE,TRUE
"215","Ss18l1","SS18L1",FALSE,FALSE,TRUE
"216","S100g","S100G",FALSE,FALSE,TRUE
"217","Pigp","PIGP",FALSE,FALSE,TRUE
"218","Thoc2","THOC2",FALSE,FALSE,TRUE
"219","Rbl1","RBL1",FALSE,FALSE,TRUE
"220","Atp5c1","ATP5F1C",FALSE,FALSE,TRUE
"221","Slit2","SLIT2",FALSE,FALSE,TRUE
"222","Ankrd16","ANKRD16",FALSE,FALSE,TRUE
"223","Bod1","BOD1L2",FALSE,TRUE,FALSE
"224","Parvg","PARVG",FALSE,FALSE,TRUE
"225","Chrna9","CHRNA9",FALSE,FALSE,TRUE
"226","Bhlhe23","BHLHE23",FALSE,FALSE,TRUE
"227","Ppm1a","PPM1A",FALSE,FALSE,TRUE
"228","Cyyr1","CYYR1",FALSE,FALSE,TRUE
"229","Son","SON",FALSE,FALSE,TRUE
"230","Slc39a6","SLC39A6",FALSE,FALSE,TRUE
"231","Gpr33","GPR33",FALSE,FALSE,TRUE
"232","Pnpla3","PNPLA3",FALSE,FALSE,TRUE
"233","Bpifb2","BPIFB2",FALSE,FALSE,TRUE
"234","Echdc3","ECHDC3",FALSE,FALSE,TRUE
"235","Pla2g3","PLA2G3",FALSE,FALSE,TRUE
"236","Upf2","UPF2",FALSE,FALSE,TRUE
"237","Haus1","HAUS1",FALSE,FALSE,TRUE
"238","Slc35f4","SLC35F4",FALSE,FALSE,TRUE
"239","Cxadr","CXADR",TRUE,FALSE,FALSE
"240","Ctps2","CTPS2",FALSE,FALSE,TRUE
"241","Tenm1","TENM1",FALSE,FALSE,TRUE
"242","Socs4","SOCS4",FALSE,FALSE,TRUE
"243","Npepl1","NPEPL1",FALSE,FALSE,TRUE
"244","Tbc1d19","TBC1D19",FALSE,FALSE,TRUE
"245","Tmx3","TMX3",FALSE,FALSE,TRUE
"246","Egln3","EGLN3",FALSE,FALSE,TRUE
"247","Shroom2","SHROOM2",FALSE,FALSE,TRUE
"248","Trdmt1","TRDMT1",FALSE,FALSE,TRUE
"249","Tubb1","TUBB1",FALSE,FALSE,TRUE
"250","Prkx","PRKX",FALSE,FALSE,TRUE
"251","Ribc2","RIBC2",FALSE,FALSE,TRUE
"252","Tgds","TGDS",FALSE,FALSE,TRUE
"253","Il15ra","IL15RA",FALSE,FALSE,TRUE
"254","Ctnnbl1","CTNNBL1",FALSE,FALSE,TRUE
"255","Igsf1","IGSF1",FALSE,FALSE,TRUE
"256","Slc25a21","SLC25A21",FALSE,FALSE,TRUE
